发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
东营广播电视台;3;9;12;21673;0.0005536843076639136
慧腐烂的心QY;22;10;32;21673;0.0014764914871037696
董慕幂;36;36;72;21673;0.0033221058459834817
糖糖糖果颖;8;11;19;21673;0.0008766668204678633
冬曼祀言境;5;3;8;21673;0.0003691228717759424
虞-祎安JSjjyl;35;19;54;21673;0.0024915793844876113
-酌幂難寒月;3;3;6;21673;0.0002768421538319568
永吴止尽的爱言;4;10;14;21673;0.0006459650256078992
世盼望;37;153;190;21673;0.008766668204678632
华莱士吃了拉肚子战士;1;1;2;21673;9.22807179439856e-05
AlainProust;2;1;3;21673;0.0001384210769159784
包子瑜;3;25;28;21673;0.0012919300512157985
海盐风铃草;9;32;41;21673;0.001891754717851705
茜茜00后粉丝;27;51;78;21673;0.0035989479998154387
红豆盼盼;3;1;4;21673;0.0001845614358879712
b盐味302橘汁c302;20;27;47;21673;0.0021685968716836615
少年JUMP吧;15;271;286;21673;0.013196142665989941
小吴会wink;10;15;25;21673;0.00115350897429982
有盐才好吃啊;12;9;21;21673;0.0009689475384118488
Aries_肆;222;18;240;21673;0.011073686153278273
816號候車厅;8;3;11;21673;0.0005075439486919209
热恋言_;11;7;18;21673;0.0008305264614958704
吾愛Gillian;2;4;6;21673;0.0002768421538319568
思雨丁;7;2;9;21673;0.0004152632307479352
异于你的我;6;5;11;21673;0.0005075439486919209
是王怀玉yu呀;11;17;28;21673;0.0012919300512157985
hooooay;1;1;2;21673;9.22807179439856e-05
万千的崽崽;1;2;3;21673;0.0001384210769159784
Yanagi_6分間休憩;4;3;7;21673;0.0003229825128039496
彩云小梦Dream;1;10;11;21673;0.0005075439486919209
夏木折葵;1;5;6;21673;0.0002768421538319568
哦呓呦;3;15;18;21673;0.0008305264614958704
怎么这么多烊;3;125;128;21673;0.005905965948415078
哈雷酱_;2;1;3;21673;0.0001384210769159784
Sa娇的午后红茶;10;56;66;21673;0.0030452636921515248
宇璐jy;2;11;13;21673;0.0005998246666359064
星辰与大海_心上人;2;1;3;21673;0.0001384210769159784
chjming;14;73;87;21673;0.004014211230563374
风过无痕dear;11;7;18;21673;0.0008305264614958704
abanger;1;5;6;21673;0.0002768421538319568
醒醒汤;2;23;25;21673;0.00115350897429982
krss彤;1;6;7;21673;0.0003229825128039496
正半轴有解;1;1;2;21673;9.22807179439856e-05
晴噗噗;1;1;2;21673;9.22807179439856e-05
正能量的黄跳跳;1;1;2;21673;9.22807179439856e-05
西北师大附中;6;17;23;21673;0.0010612282563558343
紫衣z云梦;212;15;227;21673;0.010473861486642366
川西野猴;5;34;39;21673;0.0017994739999077193
美琴方hmk;4;32;36;21673;0.0016610529229917409
nh海纳百川;1;2;3;21673;0.0001384210769159784
Fong110;2;36;38;21673;0.0017533336409357265
汕头气象爱好者;8;72;80;21673;0.0036912287177594243
大强聊娱乐;4;13;17;21673;0.0007843861025238776
商丘医专微校园;33;193;226;21673;0.010427721127670373
祎个阿惗ye;2;4;6;21673;0.0002768421538319568
超爱吃煲仔饭的迪迪;2;1;3;21673;0.0001384210769159784
Fong110;1;35;36;21673;0.0016610529229917409
墨律;3;18;21;21673;0.0009689475384118488
江婷L易只肥鹤;7;1;8;21673;0.0003691228717759424
可爱的奶盐卿;8;7;15;21673;0.0006921053845798921
蹦-迪迪;1;4;5;21673;0.00023070179485996402
Tloml_WJY;26;112;138;21673;0.0063673695381350065
司凤永远的白月光;3;3;6;21673;0.0002768421538319568
中原-老张;63;75;138;21673;0.0063673695381350065
雨中梅儿香;3;1;4;21673;0.0001845614358879712
心念奶鹽;6;8;14;21673;0.0006459650256078992
红楼梦bot;11;82;93;21673;0.00429105338439533
茟梨-;7;23;30;21673;0.0013842107691597841
spend盐;5;4;9;21673;0.0004152632307479352
有人字拖的夏天;1;1;2;21673;9.22807179439856e-05
厦门文旅;4;5;9;21673;0.0004152632307479352
彩云天气;16;10;26;21673;0.0011996493332718128
舞着萌着啦;10;3;13;21673;0.0005998246666359064
陳企鵝_Patty;3;3;6;21673;0.0002768421538319568
